EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
498691,Shooting Permit,07/19/2019 06:00:00 AM,07/19/2019 11:00:00 PM,07/18/2019 09:38:45 AM,"Mayor's Office of Film, Theatre & Broadcasting",BEDFORD AVENUE between NORTH    8 STREET and NORTH    7 STREET,Brooklyn,1,94,WEB,Not Applicable,United States of America,"11211, 11249"
498633,Shooting Permit,07/19/2019 12:00:00 PM,07/20/2019 04:00:00 AM,07/17/2019 05:59:23 PM,"Mayor's Office of Film, Theatre & Broadcasting","150 STREET between NORTH CONDUIT AVENUE and ROCKAWAY BOULEVARD,  159 AVENUE between COLEMAN SQUARE and 102 STREET,  COLEMAN SQUARE between 159 AVENUE and 159 ROAD,  159 ROAD between COLEMAN SQUARE and 102 STREET",Queens,"10, 12, 83","106, 113",Television,Cable-episodic,United States of America,"11414, 11430, 11436"
498599,Shooting Permit,07/19/2019 07:00:00 AM,07/19/2019 10:00:00 PM,07/17/2019 03:48:49 PM,"Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between EAST   78 STREET and EAST   75 STREET,  EAST   76 STREET between 5 AVENUE and MADISON AVENUE,  EAST   75 STREET between 5 AVENUE and MADISON AVENUE,  5th Ave between E 99th St and E 98th St,  5 AVENUE between EAST   98 STREET and EAST   96 STREET,  5 AVENUE between EAST   98 STREET and EAST   97 STREET,  EAST   96 STREET between 5 AVENUE and MADISON AVENUE,  EAST   96 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   98 STREET and EAST   96 STREET",Manhattan,"11, 64, 8","19, 22, 23",Film,Feature,United States of America,"00083, 10021, 10025, 10029, 10075, 10128"
498581,Shooting Permit,07/18/2019 07:00:00 AM,07/18/2019 11:00:00 PM,07/17/2019 03:07:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","SHEFFIELD AVENUE between BELMONT AVENUE and SUTTER AVENUE,  GEORGIA AVENUE between BELMONT AVENUE and SUTTER AVENUE,  GEORGIA AVENUE between BELMONT AVENUE and PITKIN AVENUE,  BELMONT AVENUE between GEORGIA AVENUE and SHEFFIELD AVENUE,  BELMONT AVENUE between GEORGIA AVENUE and ALABAMA AVENUE",Brooklyn,5,75,Film,Feature,United States of America,11207
498566,Shooting Permit,07/18/2019 08:00:00 AM,07/18/2019 10:00:00 PM,07/17/2019 02:38:57 PM,"Mayor's Office of Film, Theatre & Broadcasting","BETHUNE STREET between GREENWICH STREET and WASHINGTON STREET,  HENRY STREET between MIDDAGH STREET and CRANBERRY STREET,  CRANBERRY STREET between HENRY STREET and HICKS STREET",Brooklyn,2,"6, 84",Commercial,Commercial,United States of America,"10014, 11201"
498560,Shooting Permit,07/19/2019 09:00:00 AM,07/19/2019 11:00:00 PM,07/17/2019 02:26:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST   50 STREET and EAST   51 STREET,  EAST   51 STREET between LEXINGTON AVENUE and MADISON AVENUE,  EAST   52 STREET between MADISON AVENUE and PARK AVENUE",Manhattan,5,18,Television,Episodic series,United States of America,10022
498495,Shooting Permit,07/18/2019 12:00:00 PM,07/18/2019 11:59:00 PM,07/17/2019 12:20:25 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   64 STREET between BROADWAY and CENTRAL PARK WEST,  WEST   64 STREET between BROADWAY and CENTRAL PARK WEST",Manhattan,"64, 7","20, 22",Television,Episodic series,United States of America,10023
498478,Shooting Permit,07/19/2019 10:00:00 AM,07/19/2019 11:59:00 PM,07/17/2019 11:34:04 AM,"Mayor's Office of Film, Theatre & Broadcasting","LUDLOW STREET between DELANCEY STREET and BROOME STREET,  BROOME STREET between LUDLOW STREET and ORCHARD STREET,  LUDLOW STREET between BROOME STREET and GRAND STREET,  ORCHARD STREET between BROOME STREET and GRAND STREET,  ESSEX STREET between DELANCEY STREET and BROOME STREET,  ESSEX STREET between BROOME STREET and GRAND STREET,  GRAND STREET between ESSEX STREET and ORCHARD STREET,  ALLEN STREET between BROOME STREET and GRAND STREET,  ALLEN STREET between DELANCEY STREET and GRAND STREET",Manhattan,3,"5, 7",Television,Episodic series,United States of America,10002
498459,Shooting Permit,07/19/2019 06:00:00 AM,07/19/2019 09:00:00 PM,07/17/2019 10:21:39 AM,"Mayor's Office of Film, Theatre & Broadcasting","FULTON STREET between SOUTH ELLIOTT PLACE and SOUTH OXFORD STREET,  SOUTH PORTLAND AVENUE between DEKALB AVENUE and LAFAYETTE AVENUE,  SOUTH PORTLAND AVENUE between LAFAYETTE AVENUE and FULTON STREET,  MYRTLE AVENUE between ST EDWARDS STREET and NORTH PORTLAND AVENUE,  MYRTLE AVENUE between NORTH PORTLAND AVENUE and WASHINGTON PARK,  WASHINGTON PARK between MYRTLE AVENUE and WILLOUGHBY AVENUE,  WASHINGTON PARK between WILLOUGHBY AVENUE and DEKALB AVENUE,  DEKALB AVENUE between FT GREENE PLACE and WASHINGTON PARK,  ASHLAND PLACE between WILLOUGHBY STREET and DEKALB AVENUE,  WILLOUGHBY STREET between ASHLAND PLACE and FLEET PLACE",Brooklyn,2,88,Television,Episodic series,United States of America,"11201, 11205, 11217"
498339,Shooting Permit,07/19/2019 09:00:00 AM,07/19/2019 11:30:00 PM,07/16/2019 04:23:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","QUEENS PLAZA SOUTH between 21 STREET and 22 STREET,  22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE",Queens,2,108,Television,Episodic series,United States of America,11101
498315,Shooting Permit,07/19/2019 06:00:00 AM,07/19/2019 06:00:00 PM,07/16/2019 03:45:13 PM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   71 STREET between 5 AVENUE and MADISON AVENUE,Manhattan,"64, 8","19, 22",Still Photography,Not Applicable,United States of America,10021
498304,Shooting Permit,07/19/2019 06:00:00 AM,07/19/2019 10:00:00 PM,07/16/2019 03:20:27 PM,"Mayor's Office of Film, Theatre & Broadcasting",DITMAS AVENUE between OCEAN AVENUE and EAST   19 STREET,Brooklyn,14,70,WEB,Not Applicable,United States of America,11226
498302,Shooting Permit,07/17/2019 10:00:00 AM,07/17/2019 11:00:00 PM,07/16/2019 03:14:36 PM,"Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  REVIEW AVENUE between 35 STREET and BORDEN AVENUE",Queens,2,108,Television,Cable-other,United States of America,11101
498281,Shooting Permit,07/19/2019 12:00:00 PM,07/20/2019 01:30:00 AM,07/16/2019 02:26:31 PM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between COVERT STREET and ELDERT STREET,  61 STREET between 75 AVENUE and ST FELIX AVENUE,  61 STREET between 75 AVENUE and ST FELIX AVENUE,  ST FELIX AVENUE between 60 LANE and 61 STREET,  ST FELIX AVENUE between 61 STREET and COOPER AVENUE,  75 AVENUE between 60 LANE and 61 STREET,  61 STREET between 60 LANE and 75 AVENUE",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
